# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc033	2	2	33	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.005735	ALL:2
bc034	2	33	63	0	size	1	32	0	32	0	3.0	PASS	0	0.005831	MASK64:1
bc034	2	33	63	4	n1size	1	32	0	32	0	3.0	PASS	0	0.003154	MASK64:1
bc034	2	33	63	16	mid	2	40	0	40	0	0.0	PASS	0	0.005867	ALL:2
bc034	2	33	63	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.005911	ALL:2
bc034	2	33	63	256	speed	2	40	0	40	0	0.0	PASS	0	0.005848	ALL:2
bc034	2	33	63	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.005774	ALL:2
bc035	2	2	33	0	size	1	28	0	28	0	3.0	PASS	0	0.005594	MASK64:1
bc035	2	2	33	4	n1size	1	32	0	32	0	2.0	PASS	0	0.005847	CUBES:1
bc035	2	2	33	16	mid	1	32	0	32	0	2.0	PASS	0	0.003627	CUBES:1
bc035	2	2	33	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.005936	ALL:2
bc035	2	2	33	256	speed	2	36	0	36	0	0.0	PASS	0	0.005869	ALL:2
bc035	2	2	33	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.005613	ALL:2
bc036	2	254	256	0	size	1	32	0	32	0	4.0	PASS	0	0.005669	RANGES:1
bc036	2	254	256	4	n1size	2	32	0	32	0	0.0	PASS	0	0.003794	ALL:2
bc036	2	254	256	16	mid	2	32	0	32	0	0.0	PASS	0	0.005664	ALL:2
bc036	2	254	256	64	n1speed	2	32	0	32	0	0.0	PASS	0	0.006011	ALL:2
bc036	2	254	256	256	speed	2	32	0	32	0	0.0	PASS	0	0.005522	ALL:2
bc036	2	254	256	1e+09	maxspeed	2	32	0	32	0	0.0	PASS	0	0.006113	ALL:2
bc037	3	38	78	0	size	2	52	0	52	0	3.0	PASS	0	0.005615	ALL:1,MASK64:1
bc037	3	38	78	4	n1size	2	52	0	52	0	3.0	PASS	0	0.005832	ALL:1,MASK64:1
bc037	3	38	78	16	mid	3	52	0	52	0	0.0	PASS	0	0.005612	ALL:3
bc037	3	38	78	64	n1speed	3	52	0	52	0	0.0	PASS	0	0.005734	ALL:3
bc037	3	38	78	256	speed	3	52	0	52	0	0.0	PASS	0	0.005574	ALL:3
bc037	3	38	78	1e+09	maxspeed	3	52	0	52	0	0.0	PASS	0	0.006048	ALL:3
bc038	2	255	256	0	size	1	20	0	20	0	4.0	PASS	0	0.005672	RANGES:1
bc038	2	255	256	4	n1size	2	20	0	20	0	0.0	PASS	0	0.005929	ALL:2
bc038	2	255	256	16	mid	2	20	0	20	0	0.0	PASS	0	0.005678	ALL:2
bc038	2	255	256	64	n1speed	2	20	0	20	0	0.0	PASS	0	0.006036	ALL:2
bc038	2	255	256	256	speed	2	20	0	20	0	0.0	PASS	0	0.005981	ALL:2
bc038	2	255	256	1e+09	maxspeed	2	20	0	20	0	0.0	PASS	0	0.005813	ALL:2
bc039	3	252	256	0	size	1	56	20	76	20	12.0	PASS	0	0.003088	PAGE64:1
bc039	3	252	256	4	n1size	1	40	0	40	0	6.0	PASS	0	0.005822	RANGES:1
bc039	3	252	256	16	mid	3	48	0	48	0	0.0	PASS	0	0.005968	ALL:3
bc039	3	252	256	64	n1speed	3	48	0	48	0	0.0	PASS	0	0.004950	ALL:3
bc039	3	252	256	256	speed	3	48	0	48	0	0.0	PASS	0	0.005686	ALL:3
bc039	3	252	256	1e+09	maxspeed	3	48	0	48	0	0.0	PASS	0	0.005729	ALL:3
bc040	2	255	256	0	size	1	20	0	20	0	4.0	PASS	0	0.005676	RANGES:1
bc040	2	255	256	4	n1size	2	20	0	20	0	0.0	PASS	0	0.005793	ALL:2
bc040	2	255	256	16	mid	2	20	0	20	0	0.0	PASS	0	0.005841	ALL:2
bc040	2	255	256	64	n1speed	2	20	0	20	0	0.0	PASS	0	0.005030	ALL:2
bc040	2	255	256	256	speed	2	20	0	20	0	0.0	PASS	0	0.006069	ALL:2
bc040	2	255	256	1e+09	maxspeed	2	20	0	20	0	0.0	PASS	0	0.006070	ALL:2
